"Player","PA","PC","PC %","Team"
"Jimmy Durmaz",12,11,"92%","Sweden"
"Jon Walters",12,9,"75%","Republic of Ireland"
"Steliano Filip",12,6,"50%","Romania"
"Aleksandr Samedov",11,10,"91%","Russia"
"Eren Derdiyok",11,10,"91%","Switzerland"
"Marc Janko",11,8,"73%","Austria"
"Elmar Bjarnason",11,7,"64%","Iceland"
"Milan Škoda",11,7,"64%","Czech Republic"
"Olcay �<U+009E>ahan",10,9,"90%","Turkey"
"Miroslav Stoch",10,8,"80%","Slovakia"
"Shane Ferguson",10,7,"70%","Northern Ireland"
"Theodor Gebre Selassie",10,6,"60%","Czech Republic"
"Marcus Rashford",9,8,"89%","England"
"Piotr Zieli�<U+0084>ski",9,7,"78%","Poland"
"Eliaquim Mangala",8,8,"100%","France"
"Claudiu Ke�<U+0099>erü",8,7,"88%","Romania"
"Eidur Gudjohnsen",8,7,"88%","Iceland"
"Nemanja Nikoli�<U+0087>",8,6,"75%","Hungary"
"Cenk Tosun",8,6,"75%","Turkey"
"Emil Hallfredsson",7,6,"86%","Iceland"
"Niall McGinn",7,4,"57%","Northern Ireland"
"Paddy McNair",7,4,"57%","Northern Ireland"
"Josh Magennis",7,3,"43%","Northern Ireland"
"César Azpilicueta",6,6,"100%","Spain"
"Dániel Böde",6,5,"83%","Hungary"
"Bekim Balaj",6,5,"83%","Albania"
"Stephan El Shaarawy",6,5,"83%","Italy"
"Jakob Jantscher",5,5,"100%","Austria"
"Yunus Mallı",5,5,"100%","Turkey"
"Christian Benteke",5,4,"80%","Belgium"
"S�<U+0082>awomir Peszko",5,3,"60%","Poland"
"Ji�<U+0099>í Skalák",4,4,"100%","Czech Republic"
"Rubin Okotie",4,4,"100%","Austria"
"Robbie Keane",4,4,"100%","Republic of Ireland"
"Frédéric Veseli",4,4,"100%","Albania"
"Arnor Ingvi Traustason",4,4,"100%","Iceland"
"Michael Lang",4,3,"75%","Switzerland"
"Michy Batshuayi",4,3,"75%","Belgium"
"Shkëlzen Gashi",4,2,"50%","Albania"
"Divock Origi",4,1,"25%","Belgium"
"Rafa Silva",4,0,"0%","Portugal"
"James Milner",3,3,"100%","England"
"Kornel Saláta",3,3,"100%","Slovakia"
"Erkan Zengin",2,2,"100%","Sweden"
"Simon Church",2,2,"100%","Wales"
"Andrej Kramari�<U+0087>",2,2,"100%","Croatia"
"Kevin Wimmer",2,2,"100%","Austria"
"�<U+0089>der",2,2,"100%","Portugal"
"Anatoliy Tymoshchuk",2,1,"50%","Ukraine"
"Shani Tarashaj",1,1,"100%","Switzerland"
"Sokol �<U+0087>ikalleshi",1,1,"100%","Albania"
"Gordon Schildenfeld",1,0,"0%","Croatia"
"Daniel Kolá�<U+0099>",1,0,"0%","Czech Republic"
